Tata, Nano Genx, Tata, NanG
Tata, Tiago, Tata, Tiag
Datsun, Redi-Go, Dats, Redi
Datsun, Go, Dats, Go
Renault, Kwid, Rena, Kwid
Renault, Triber, Rena, Trib
Maruti Suzuki, Eeco, Maru, Eeco
Maruti Suzuki, Alto K10, Maru, AltK
Maruti Suzuki, Celerio Tour, Maru, CelT
Maruti Suzuki, Celerio X, Maru, CelX
Maruti Suzuki, Ignis, Maru, Igni
Hyundai, Santro, Hyun, Sant
Premier, Rio, Prem, Rio
Toyota, Etios Liva, Toyo, EtiL
